sample_name,k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Staphylococcaceae; g__Staphylococcus; s__succinus,k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus; s__agalactiae,k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Enterococcaceae; g__Enterococcus,k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae,k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus,k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus; s__,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Corynebacteriaceae; g__Corynebacterium; s__,k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Neisseriales; f__Neisseriaceae; g__Neisseria; s__,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pasteurellales; f__Pasteurellaceae; g__Haemophilus; s__,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Actinomycetaceae; g__Actinomyces; s__,k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Staphylococcaceae; g__Staphylococcus,k__Bacteria; p__Fusobacteria; c__Fusobacteriia; o__Fusobacteriales; f__Leptotrichiaceae; g__Leptotrichia; s__,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pasteurellales; f__Pasteurellaceae; g__Haemophilus; s__parainfluenzae,k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus; s__infantis,k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Bifidobacteriales; f__Bifidobacteriaceae; g__Bifidobacterium; s__pseudolongum,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__,k__Bacteria; p__Verrucomicrobia; c__Verrucomicrobiae; o__Verrucomicrobiales; f__Verrucomicrobiaceae; g__Akkermansia; s__muciniphila,k__Bacteria; p__Fusobacteria; c__Fusobacteriia; o__Fusobacteriales; f__Fusobacteriaceae; g__Fusobacterium; s__,Other
12502.3P18,0.996842105,0,0,0.001578947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12502.3T11,0,0,0.976842105,0,0,0.020526316,0.000526316,0,0,0,0,0,0,0,0,0,0,0.001052632,0,0,0,0,0,0
12502.6T21,0.998947368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000526316,0,0,0.000526316,0,0,0
12502.6T12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12502.6P12,0.391052632,0,0.608947368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12502.1P14,0.999473684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12502.6P19,0.998947368,0,0,0.001052632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12502.0T19,0.023684211,0,0,0.975263158,0.000526316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12502.2T25,0.998947368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000526316,0,0,0,0,0,0
12502.6P21,0.935263158,0,0.064736842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12502.1T20,0.902631579,0,0,0,0.091052632,0,0.000526316,0,0,0.003157895,0,0,0,0,0,0,0,0,0,0,0.001052632,0,0,0
12502.1P19,0.997894737,0,0,0,0.001052632,0,0.001052632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12502.1T14,0.006842105,0,0,0.002631579,0.882631579,0,0,0,0,0.000526316,0,0,0,0.003684211,0,0,0,0.007894737,0,0.002105263,0,0,0,0
12502.6T13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12502.2P12,0.006842105,0,0.707368421,0.002631579,0,0,0,0,0,0.003684211,0,0,0.000526316,0.038421053,0,0,0.001052632,0.018421053,0,0.058421053,0.066315789,0,0,0
12502.6T20,0.998421053,0,0,0,0,0,0.000526316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12502.3H12,0.385263158,0.613684211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000526316,0,0,0,0
12502.6T07,0.041578947,0,0.956315789,0.000526316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12502.0C18,0.996842105,0,0,0,0.000526316,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000526316,0,0,0,0,0
12502.0C16,0.390526316,0.002105263,0.604210526,0,0.001052632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000526316,0
12502.1P09,0.993157895,0.002105263,0,0,0.000526316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000526316,0
12502.0C15,0.130526316,0.714210526,0.022105263,0.004736842,0.025263158,0,0,0,0,0,0,0,0.004736842,0,0,0,0,0.008947368,0,0,0,0,0,0
12502.2C19,0.000526316,0.838421053,0.160526316,0,0.000526316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12502.3P06,0.991052632,0.003684211,0,0,0.000526316,0,0,0,0.000526316,0,0,0,0,0,0,0,0,0,0,0,0,0.002105263,0,0
12502.6C18,0.568947368,0.428947368,0,0,0.000526316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000526316,0,0
12502.2P09,0.994736842,0.000526316,0,0,0,0,0,0,0.000526316,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000526316,0
12502.3T06,0.995263158,0.001052632,0,0,0.001052632,0.000526316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000526316,0
12502.3C16,0.546842105,0.348947368,0.100526316,0,0.000526316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000526316,0.000526316,0
